id_producto,nombre,descripcion,cantidad,unidad_producto
1,ALFILERES BLANCOS MC MAPED ,DESCONOCIDO,0,piezas
2,ALFILERES EN RUEDA MULTICOLOR MC SELANUSA,DESCONOCIDO,0,piezas
3,ALFILERES NEGROS MC MAPED ,DESCONOCIDO,0,piezas
4,ALFILERES VERDES MC MAPED ,DESCONOCIDO,0,piezas
5,ARILLO DE PLASTICO PARA ENCUADERNAR 1/2 12.70 MM MC CERLOX,DESCONOCIDO,0,piezas
6,ARILLO DE PLASTICO PARA ENCUADERNAR 1/4  MM MC PERFEX,DESCONOCIDO,0,piezas
7,ARILLO DE PLASTICO PARA ENCUADERNAR 3/8 9.53  MM MC PERFEX,DESCONOCIDO,0,piezas
8,ARILLO DE PLASTICO PARA ENCUADERNAR 5/16 7.44 MM MC CERLOX,DESCONOCIDO,0,piezas
9,ARILLO DE PLASTICO PARA ENCUADERNAR 5/8 18.55 MM MC CERLOX,DESCONOCIDO,0,piezas
10,ARILLO DE PLASTICO PARA ENCUADERNAR 5/8 18.55 MM MC PERFEX,DESCONOCIDO,0,piezas
11,ARILLO METALICO DOBLE PARA ENCUADERNAR MC PERFEX,DESCONOCIDO,0,piezas
12,ARILLO METALICO DOBLE  ENCUADERNAR MC ZEBRA,DESCONOCIDO,0,piezas
13,ARILLO METALICO DOBLE PARA ENCUADERNAR MC GBC,DESCONOCIDO,0,piezas
14,BANDERAS PARA MAPAS MC OFFICE DEPOT,DESCONOCIDO,0,piezas
15,BICOLOR DELGADO MC DIXON ,DESCONOCIDO,0,piezas
16,BOLIGRAFO CRISTAL PRECISION PUNTO FINO F-290 MC. BIC COLOR AZUL FTE,DESCONOCIDO,0,piezas
17,BOLIGRAFO PIN POINT P/FINO CUERPO AMARILLO  TINTA COLOR AZUL MC. AZOR,DESCONOCIDO,0,piezas
18,BOLIGRAFO PIN POINT P/MEDIANO 1.0MM CUERPO TRANSPARENTE TINTA COLOR AZUL MC. AZOR,DESCONOCIDO,0,piezas
19,BOLIGRAFO PINT PONT 0.5 MM CUERPO AZUL TINTA COLOR AZUL. AZOR,DESCONOCIDO,0,piezas
20,BOLIGRAFO PIN POINT P/MEDIANO 1.0MM CUERPO TRANSPARENTE TINTA COLOR NEGRO MC. AZOR,DESCONOCIDO,0,piezas
21,BOLIGRAFO PUNTA DE AGUJA 0.7MM C/ROJO MC AZOR ,DESCONOCIDO,0,piezas
22,BOLIGRAFO PUNTA FINA 0.7MM C/ROJO MC PAPERMATE ,DESCONOCIDO,0,piezas
23,BOLIGRAFO PUNTO FINO CON 12 PZAS BOLEX COLOR ROJO,DESCONOCIDO,0,piezas
24,BOLIGRAFO PUNTA MEDIA CON 12 PZAS PAPERMATE  COLOR ROJO,DESCONOCIDO,0,piezas
25,"BORRADOR DE PIZARRON, VINCI",DESCONOCIDO,0,piezas
26,BORRADOR DE MIGAJON M-40 MC. PELIKAN,DESCONOCIDO,0,piezas
27,BORRADOR PARA PIZARR�N VINCI MC DIXON,DESCONOCIDO,0,piezas
28,BLOCK DE COMPROBANTE DE GASTOS. MC GRAFIX M�XICO 50 HOJAS,DESCONOCIDO,0,piezas
29,CAJA DE BROCHES PARA ARCHIVO DE 8 CM. ACCO,DESCONOCIDO,0,piezas
30,CAJA CON 100 CHINCHETAS PIN DIFERENTES COLORES MC PELIKAN,DESCONOCIDO,0,piezas
31,CAJA CON 100 CLIPS ESTANDAR BASICO N� 2 MC. ACCO,DESCONOCIDO,0,piezas
